회사명,거래소코드,회계년도,유동자산(요약)(백만원),부채총계(요약)(백만원)
(주)아이에이,038880,2020/12,23441,30936
(주)아이에이치큐,003560,2020/12,94600,26697
(주)아이엘사이언스,307180,2020/12,14247,29890
(주)아이엠,101390,2020/12,44998,50165
(주)아이엠비씨,052220,2020/12,12955,12052
(주)아이오케이컴퍼니,078860,2020/12,64079,45268
(주)아이윈,090150,2020/12,36626,44357
(주)아이윈플러스,123010,2020/12,19890,16600
(주)아이즈비전,031310,2020/12,61677,15603
(주)아이컴포넌트,059100,2020/12,23598,17283
(주)아이퀘스트,262840,2020/12,22897,9731
(주)아이톡시,052770,2020/12,6871,5456
(주)아이티센,124500,2020/12,14102,59344
(주)아이티아이즈,372800,2020/12,16289,13961
(주)아이티엑스에이아이,099520,2020/12,34468,24518
(주)아이티엠반도체,084850,2020/12,244623,120475
(주)아이패밀리에스씨,114840,2020/12,26735,15129
(주)아즈텍더블유비이,032080,2020/12,52873,26893
(주)아진엑스텍,059120,2020/12,32896,5173
(주)아톤,158430,2020/12,40101,6392
(주)아프리카티비,067160,2020/12,184091,131194
(주)안랩,053800,2020/12,194681,61490
(주)안트로젠,065660,2020/12,54911,13137
(주)알로이스,297570,2020/12,24841,6257
(주)알루코,001780,2020/12,200337,190675
(주)알비더블유,361570,2020/12,52969,58781
(주)알에프세미,096610,2020/12,40443,50044
(주)알에프텍,061040,2020/12,109286,64219
(주)알엔투테크놀로지,148250,2020/12,25893,19560
(주)알체라,347860,2020/12,26423,2659
(주)알테오젠,196170,2020/12,96701,6906
(주)알톤스포츠,123750,2020/12,20981,4435
(주)알티캐스트,085810,2020/12,45173,24437
(주)알파홀딩스,117670,2020/12,44685,61807
(주)압타머사이언스,291650,2020/12,35308,1749
(주)애니플러스,310200,2020/12,9731,5925
(주)애드바이오텍,179530,2020/12,7139,9490
(주)액션스퀘어,205500,2020/12,18513,4489
(주)액토즈소프트,052790,2020/12,59019,13003
(주)액트로,290740,2020/12,56849,7427
(주)앤디포스,238090,2020/12,95552,29189
(주)앤씨앤,092600,2020/12,47935,42932
(주)앱코,129890,2020/12,125415,68026
(주)야스,255440,2020/12,92918,35945
(주)어스앤에어로스페이스,263540,2020/12,15984,34735
(주)얼라인드제네틱스,238120,2020/12,15603,3911
(주)에너토크,019990,2020/12,19408,5344
(주)에넥스,011090,2020/12,69900,67497
(주)에스디생명공학,217480,2020/12,67200,50478
(주)에스디시스템,121890,2020/12,7862,6622
(주)에스비비테크,389500,2020/12,4417,13212
(주)에스비에스,034120,2020/12,381346,510261
(주)에스비에스콘텐츠허브,046140,2020/12,147023,43883
(주)에스씨디,042110,2020/12,99967,49322
(주)에스아이리소스,065420,2020/12,8319,1903
(주)에스앤더블류,103230,2020/12,15368,13328
(주)에스앤디,260970,2020/12,33701,11449
(주)에스앤에스텍,101490,2020/12,83814,21450
(주)에스에너지,095910,2020/12,91897,72325
(주)에스에스알,275630,2020/12,21168,2455
(주)에스에이엠티,031330,2020/12,231298,88569
(주)에스에이티,060540,2020/12,25962,6376
(주)에스에이티이엔지,351320,2020/12,,
(주)에스에프에이,056190,2020/12,763376,272436
(주)에스에프에이반도체,036540,2020/12,127795,210399
(주)에스엘바이오닉스,214310,2020/12,17712,17834
(주)에스엠라이프디자인그룹,063440,2020/12,34281,5422
(주)에스엠벡셀,010580,2020/12,13853,54078
(주)에스엠엔터테인먼트,041510,2020/12,208877,163645
(주)에스엠컬처앤콘텐츠,048550,2020/12,225247,198102
(주)에스엠코어,007820,2020/12,71452,23105
(주)에스원,012750,2020/12,742800,484552
(주)에스제이그룹,306040,2020/12,77474,38557
(주)에스제이엠,123700,2020/12,58477,18460
(주)에스제이엠홀딩스,025530,2020/12,13615,13645
(주)에스지글로벌,001380,2020/12,47934,62444
(주)에스지세계물산,004060,2020/12,140210,68827
(주)에스지엔지,040610,2020/12,10486,49109
(주)에스코넥,096630,2020/12,51438,65096
(주)에스텍파마,041910,2020/12,70174,11749
(주)에스티아이,039440,2020/12,127539,64306
(주)에스티오,098660,2020/12,39802,35511
(주)에스티큐브,052020,2020/12,44300,13207
(주)에스폴리텍,050760,2020/12,78338,61293
(주)에스피시스템스,317830,2020/12,28745,21739
(주)에스피씨삼립,005610,2020/12,208818,647357
(주)에스피지,058610,2020/12,119340,122664
(주)에쎈테크,043340,2020/12,27518,34261
(주)에이디칩스,054630,2020/12,19962,18008
(주)에이디테크놀로지,200710,2020/12,134773,68290
(주)에이루트,096690,2020/12,72026,18629
(주)에이블씨엔씨,078520,2020/12,100905,72353
(주)에이비프로바이오,195990,2020/12,51733,16422
(주)에이스침대,003800,2020/12,96292,68808
(주)에이스테크놀로지,088800,2020/12,123226,176671
(주)에이스토리,241840,2020/12,46064,24461
(주)에이엔피,015260,2020/12,43690,63222
(주)에이치비테크놀러지,078150,2020/12,105711,54129
(주)에이치시티,072990,2020/12,26431,25959
(주)에이치알에스,036640,2020/12,32184,10133
(주)에이치앤비디자인,227100,2020/12,18806,18544
(주)에이치엘사이언스,239610,2020/12,78789,11220
(주)에이치와이티씨,148930,2020/12,14352,11997
(주)에이치케이,044780,2020/12,49261,31940
(주)에이치피에스피,403870,2020/12,47286,15238
(주)에이치피오,357230,2020/12,26166,12372
(주)에이텍,045660,2020/12,27971,13652
(주)에이텍티앤,224110,2020/12,9230,9555
(주)에이트원,230980,2020/12,14588,17874
(주)에이티넘인베스트먼트,021080,2020/12,,
(주)에이티세미콘,089530,2020/12,16454,127027
(주)에이팩트,200470,2020/12,21151,63174
(주)에이프로,262260,2020/12,53297,15311
(주)에이프로젠,007460,2020/12,160211,259965
(주)에이프로젠헬스케어앤게임즈,109960,2020/12,100341,5064
(주)에이프릴바이오,397030,2020/12,18005,33187
(주)에이플러스에셋어드바이저,244920,2020/12,77334,64716
(주)에치에프알,230240,2020/12,64367,63596
(주)에코마케팅,230360,2020/12,118545,33604
(주)에코프로,086520,2020/12,120965,171991
(주)에코프로비엠,247540,2020/12,270111,327633
(주)에프알텍,073540,2020/12,13667,30383
(주)에프앤가이드,064850,2020/12,22566,12397
(주)에프앤리퍼블릭,064090,2020/12,23261,32061
(주)에프앤에프홀딩스,007700,2020/12,496834,246107
(주)에프에스엔,214270,2020/12,23058,75061
(주)에프에스티,036810,2020/12,65874,82896
(주)에프엔씨엔터테인먼트,173940,2020/12,73691,60524
(주)엑사이엔씨,054940,2020/12,47597,55559
(주)엑서지21,043090,2020/12,15699,1457
(주)엑세스바이오인코퍼레이션,950130,2020/12,100804,60948
(주)엑셈,205100,2020/12,43712,6983
(주)엑시콘,092870,2020/12,50393,19388
(주)엔바이오니아,317870,2020/12,16298,9184
(주)엔비티,236810,2020/12,16186,10944
(주)엔시스,333620,2020/12,21714,12954
(주)엔씨소프트,036570,2020/12,2302172,787832
(주)엔아이스틸,008260,2020/12,57442,165936
(주)엔에스,217820,2020/12,69641,54503
(주)엔에스엔,031860,2020/12,26217,9704
(주)엔에이치엔벅스,104200,2020/12,41457,21449
(주)엔에프씨,265740,2020/12,33184,26684
(주)엔이능률,053290,2020/12,68317,25860
(주)엔젠바이오,354200,2020/12,42351,7944
(주)엔지스테크널러지,208860,2020/12,9680,36852
(주)엔지켐생명과학,183490,2020/12,104688,51018
(주)엔케이,085310,2020/12,65320,50550
(주)엔케이맥스,182400,2020/12,45608,69198
(주)엔켐,348370,2020/12,118239,65172
(주)엔텔스,069410,2020/12,44207,11704
(주)엔피,291230,2020/12,,
(주)엔피디,198080,2020/12,53681,31330
(주)엔피케이,048830,2020/12,17563,32571
(주)엘디티,096870,2020/12,8219,2680
(주)엘비루셈,376190,2020/12,82030,51575
(주)엘아이에스,138690,2020/12,64892,153305
(주)엘앤씨바이오,290650,2020/12,44476,17070
(주)엘앤에프,066970,2020/12,200634,247172
(주)엘앤케이바이오메드,156100,2020/12,33877,19754
(주)엘에스,006260,2020/12,178289,308916
(주)엘에스네트웍스,000680,2020/12,211460,716230
(주)엘에프,093050,2020/12,730542,451170
(주)엘엑스세미콘,108320,2020/12,627617,218870
(주)엘엑스세미콘,108320,2020/12,627617,218870
(주)엘엑스인터내셔널,001120,2020/12,770389,1241537
(주)엘엑스하우시스,108670,2020/12,852202,1212921
(주)엘엠에스,073110,2020/12,114998,109851
(주)엘오티베큠,083310,2020/12,111604,61213
(주)엘지,003550,2020/12,2546281,301043
(주)엘지생활건강,051900,2020/12,892926,767457
(주)엘지에너지솔루션,373220,2020/12,4188435,5090619
(주)엘지유플러스,032640,2020/12,4536761,9835857
(주)엘지헬로비전,037560,2020/12,373478,833176
(주)엘지화학,051910,2020/12,4934284,8886645
(주)엠게임,058630,2020/12,27392,10545
(주)엠디에스테크,086960,2020/12,63566,25791
(주)엠로,058970,2020/12,14988,22218
(주)엠씨넥스,097520,2020/12,314759,166744
(주)엠아이텍,179290,2020/12,45107,12680
(주)엠에스씨,009780,2020/12,70506,65756
(주)엠에스오토텍,123040,2020/12,43735,254481
(주)엠투아이코퍼레이션,347890,2020/12,36586,6788
(주)엠투엔,033310,2020/12,13261,50490
(주)엠플러스,259630,2020/12,101149,82162
(주)엠피대산,065150,2020/12,26756,23939
(주)엠피씨플러스,050540,2020/12,19888,42943
(주)연우,115960,2020/12,98479,60128
(주)연이비앤티,090740,2020/12,31155,47864
(주)영림원소프트랩,060850,2020/12,35893,18705
(주)영우디에스피,143540,2020/12,67680,54572
(주)영원무역,111770,2020/12,512097,536482
(주)영원무역홀딩스,009970,2020/12,85768,43341
(주)영풍,000670,2020/12,727720,494311
(주)영흥,012160,2020/12,127995,168869
(주)예림당,036000,2020/12,58651,4156
(주)예선테크,250930,2020/12,22166,28590
(주)예스코홀딩스,015360,2020/12,222989,165764
(주)예스티,122640,2020/12,50055,90868
(주)오공,045060,2020/12,28153,24128
(주)오디텍,080520,2020/12,46330,7371
(주)오뚜기,007310,2020/12,560393,603034
(주)오로스테크놀로지,322310,2020/12,19101,8577
(주)오르비텍,046120,2020/12,57798,52721
(주)오리엔탈정공,014940,2020/12,29188,26158
(주)오리엔트바이오,002630,2021/03,22142,21136
(주)오리엔트정공,065500,2020/12,14106,35483
(주)오리온,271560,2020/12,163356,398318
(주)오리온홀딩스,001800,2020/12,5095,43333
(주)오리콤,010470,2020/12,45624,53128
(주)오비고,352910,2020/12,7761,9547
(주)오스코텍,039200,2020/12,38524,11700
(주)오스테오닉,226400,2020/12,42225,39049
(주)오스템,031510,2020/12,72578,90802
(주)오에스피,368970,2020/12,11119,3791
(주)오이솔루션,138080,2020/12,127504,46959
(주)오킨스전자,080580,2020/12,19069,27362
(주)오텍,067170,2020/12,58378,76835
(주)오파스넷,173130,2020/12,39825,28332
(주)오픈베이스,049480,2020/12,33177,26581
(주)오하임아이엔티,309930,2020/12,25954,8986
(주)옵투스제약,131030,2020/12,93431,11014
(주)옵트론텍,082210,2020/12,84657,139838
(주)옵티팜,153710,2020/12,25676,7541
(주)와이더플래닛,321820,2020/12,3017,7157
(주)와이비엠넷,057030,2020/12,35619,35995
(주)와이솔,122990,2020/12,142165,24461
(주)와이어블,065530,2020/12,57653,74360
(주)와이엔텍,067900,2020/12,37623,89169
(주)와이엠텍,273640,2020/12,16018,2708
(주)와이오엠,066430,2020/12,14286,10542
(주)와이제이엠게임즈,193250,2020/12,12571,11089
(주)와이즈버즈,273060,2020/12,59380,30182
(주)와이지-원,019210,2020/12,276110,432489
(주)와이지엔터테인먼트,122870,2020/12,129215,46707
(주)와이지플러스,037270,2020/12,39690,19517
(주)와이투솔루션,011690,2020/12,76928,81234
(주)와이티엔,040300,2020/12,62064,105805
(주)와이팜,332570,2020/12,80061,7460
(주)용평리조트,070960,2020/12,166822,533969
(주)우리금융지주,316140,2020/12,,
(주)우리기술,032820,2020/12,43222,56559
(주)우리넷,115440,2020/12,77695,40034
(주)우리로,046970,2020/12,24489,38678
(주)우성,006980,2020/12,166302,124386
(주)우신시스템,017370,2020/12,96241,93001
(주)우양,103840,2020/12,39998,84744
(주)우정바이오,215380,2020/12,28250,41785
(주)우주일렉트로닉스,065680,2020/12,148008,63940
(주)우진,105840,2020/12,42309,53339
(주)우진아이엔에스,010400,2020/12,79256,19596
(주)우진플라임,049800,2020/12,115408,207352
(주)웅진,016880,2020/12,78305,169008
(주)웅진씽크빅,095720,2020/12,405503,265096
(주)원림,005820,2020/12,37711,27407
(주)원바이오젠,307280,2020/12,7809,1102
(주)원방테크,053080,2020/12,67291,24490
(주)원익,032940,2020/12,14252,55656
(주)원익머트리얼즈,104830,2020/12,107676,30999
(주)원익아이피에스,240810,2020/12,656120,437824
(주)원익큐브,014190,2020/12,91660,41745
(주)원익큐엔씨,074600,2020/12,69359,94461
(주)원익피앤이,131390,2020/12,151056,99877
(주)원익홀딩스,030530,2020/12,94741,233473
(주)원일특강,012620,2020/12,144185,101366
(주)원준,382840,2020/12,31707,40234
(주)원티드랩,376980,2020/12,6579,43765
(주)원풍,008370,2020/12,44255,9670
(주)월덱스,101160,2020/12,86693,43206
(주)웨이버스,336060,2020/12,,
(주)웨이브일렉트로닉스,095270,2020/12,21747,35415
(주)웰크론,065950,2020/12,48672,61940
(주)웰크론한텍,076080,2020/12,95030,75070
(주)웹스,196700,2020/12,25942,27749
(주)웹젠,069080,2020/12,311361,105955
(주)위니아,071460,2020/12,169757,256765
(주)위니아에이드,377460,2020/12,111696,120176
(주)위닉스,044340,2020/12,134542,116931
(주)위드텍,348350,2020/12,93655,27144
(주)위메이드,112040,2020/12,33257,21972
(주)위메이드맥스,101730,2020/12,17601,5735
(주)위메이드플레이,123420,2020/12,133226,18101
(주)위세아이텍,065370,2020/12,26835,16818
(주)위스컴,024070,2020/12,65000,12190
(주)위지윅스튜디오,299900,2020/12,15376,29797
(주)위지트,036090,2020/12,18799,22088
(주)윈스,136540,2020/12,88583,43391
(주)윈팩,097800,2020/12,22462,82256
(주)윈하이텍,192390,2020/12,41192,41596
(주)윌링스,313760,2020/12,28667,7954
(주)윌비스,008600,2020/12,118154,127775
(주)윙스풋,335870,2020/12,,
(주)유니드,014830,2020/12,258284,272558
(주)유니온,000910,2020/12,45609,74911
(주)유니온커뮤니티,203450,2020/12,40986,23215
(주)유니켐,011330,2020/12,90286,105178
(주)유니크,011320,2020/12,87608,115399
(주)유니테스트,086390,2020/12,94057,23631
(주)유니테크노,241690,2020/12,37917,46913
(주)유니트론텍,142210,2020/12,78189,62707
(주)유라테크,048430,2020/12,65573,22558
(주)유바이오로직스,206650,2020/12,71407,59079
(주)유비케어,032620,2020/12,97372,42492
(주)유비쿼스,264450,2020/12,119664,39975
(주)유비쿼스홀딩스,078070,2020/12,8683,3074
(주)유성티엔에스,024800,2020/12,73335,150719
(주)유수홀딩스,000700,2020/12,103919,38515
(주)유신,054930,2020/12,131709,92771
(주)유씨아이,038340,2020/12,35449,23771
(주)유아이디,069330,2020/12,6368,17928
(주)유에스티,263770,2020/12,46065,17291
(주)유유제약,000220,2020/12,60195,26816
(주)유일로보틱스,388720,2020/12,17102,16269
(주)유진로봇,056080,2020/12,33636,16663
(주)유진테크,084370,2020/12,149721,38925
(주)유테크,178780,2020/12,29346,6912
(주)유티아이,179900,2020/12,52735,22315
(주)유틸렉스,263050,2020/12,67258,47222
(주)유한양행,000100,2020/12,1082162,389512
(주)육일씨엔에쓰,191410,2020/12,20522,33231
(주)율호,072770,2020/12,33400,24155
(주)이건홀딩스,039020,2020/12,2264,28357
(주)이글루코퍼레이션,067920,2020/12,48604,10614
(주)이글벳,044960,2020/12,23200,10673
(주)이노룰스,296640,2020/12,7703,5923
(주)이노메트리,302430,2020/12,37425,7645
(주)이노션,214320,2020/12,578600,304963
(주)이노와이어리스,073490,2020/12,41411,13787
(주)이노인스트루먼트,215790,2020/12,12716,3916
(주)이노테라피,246960,2020/12,5203,4224
(주)이녹스,088390,2020/12,6888,50674
(주)이녹스첨단소재,272290,2020/12,149483,96212
(주)이라이콤,041520,2020/12,158347,30256
(주)이랜시스,264850,2020/12,28400,18057
(주)이랜텍,054210,2020/12,94254,83762
(주)이루다,164060,2020/12,29898,14564
(주)이루온,065440,2020/12,29887,15738
(주)이마트,139480,2020/12,2067658,6458660
(주)이미지스테크놀로지,115610,2020/12,8561,2498
(주)이브이수성,084180,2020/12,15039,31074
(주)이브이첨단소재,131400,2020/12,52233,50553
(주)이상네트웍스,080010,2020/12,32568,27593
(주)이수앱지스,086890,2020/12,47098,39173
(주)이수페타시스,007660,2020/12,151217,161576
(주)이수화학,005950,2020/12,314702,391988
(주)이스타코,015020,2020/12,12735,21868
(주)이스트소프트,047560,2020/12,21193,59247
(주)이씨에스텔레콤,067010,2021/03,62036,18820
(주)이아이디,093230,2020/12,24978,8872
(주)이엔드디,101360,2020/12,57472,12332
(주)이엔에프테크놀로지,102710,2020/12,123422,101177
(주)이엔코퍼레이션,066980,2020/12,76104,26939
(주)이엔플러스,074610,2020/12,22411,33409
(주)이엘피,063760,2020/12,45217,5641
(주)이엠넷,123570,2020/12,52796,24502
(주)이엠앤아이,083470,2020/12,6999,11230
(주)이엠텍,091120,2020/12,118524,63204
(주)이오테크닉스,039030,2020/12,236065,73268
(주)이원,017940,2020/12,1063170,1728871
(주)이월드,084680,2020/12,58396,85229
(주)이즈미디어,181340,2020/12,35430,32747
(주)이지,037370,2020/12,23174,51577
(주)이지바이오,353810,2020/12,58262,55782
(주)이지트로닉스,377330,2020/12,15160,14673
(주)이지홀딩스,035810,2020/12,25958,125449
(주)이크레더블,092130,2020/12,51575,9080
(주)이퓨쳐,134060,2020/12,14577,3478
(주)인디에프,014990,2020/12,76694,97361
(주)인바디,041830,2020/12,73748,4824
(주)인바이오젠,101140,2020/12,85847,18975
(주)인산가,277410,2020/12,26171,29050
(주)인성정보,033230,2020/12,51165,58209
(주)인스코비,006490,2020/12,22494,23764
(주)인지디스플레이,037330,2020/12,70037,181751
(주)인지소프트,100030,2020/12,12802,14003
(주)인콘,083640,2020/12,60086,26484
(주)인터로조,119610,2020/12,102876,58486
(주)인터플렉스,051370,2020/12,140683,167643
(주)인텍플러스,064290,2020/12,35733,21941
(주)인텔리안테크놀로지스,189300,2020/12,69652,63608
(주)인트로메딕,150840,2020/12,14786,7765
(주)인트론바이오테크놀로지,048530,2020/12,79982,15153
(주)인팩,023810,2020/12,63535,80727
(주)인포마크,175140,2020/12,28190,37246
(주)인포바인,115310,2020/12,72863,4033
(주)인피니트헬스케어,071200,2020/12,73765,14319
(주)일승,333430,2020/12,,
(주)일신바이오베이스,068330,2020/12,32018,5169
(주)일신석재,007110,2020/12,42001,41826
(주)일야,058450,2020/12,10404,10898
(주)일지테크,019540,2020/12,59182,78042
(주)일진파워,094820,2020/12,51148,38467
(주)잇츠한불,226320,2020/12,245265,13123
(주)잉크테크,049550,2020/12,24236,59282
(주)자비스,254120,2020/12,15203,20548
(주)자연과환경,043910,2020/12,40297,27016
(주)자이언트스텝,289220,2020/12,12578,6381
(주)장원테크,174880,2020/12,23656,41902
(주)저스템,417840,2020/12,28285,11597
(주)정다운,208140,2020/12,72151,71410
(주)정상제이엘에스,040420,2020/12,16694,34876
(주)정원엔시스,045510,2020/12,49386,33549
(주)제넥신,095700,2020/12,19102,60166
(주)제넨바이오,072520,2020/12,30595,47544
(주)제노레이,122310,2020/12,62623,18609
(주)제노코,361390,2020/12,24275,20472
(주)제노포커스,187420,2020/12,29193,40663
(주)제놀루션,225220,2020/12,63448,22483
(주)제닉,123330,2020/12,20907,27669
(주)제로투세븐,159580,2020/12,50966,37724
(주)제우스,079370,2020/12,111612,110463
(주)제이브이엠,054950,2020/12,70659,32970
(주)제이스텍,090470,2020/12,53596,30903
(주)제이시스메디칼,287410,2020/12,,
(주)제이아이테크,417500,2020/12,11277,12872
(주)제이앤티씨,204270,2020/12,125725,67576
(주)제이에스코퍼레이션,194370,2020/12,95949,125381
(주)제이에스티나,026040,2020/12,30007,36966
(주)제이엘케이,322510,2020/12,18339,15873
(주)제이와이피엔터테인먼트,035900,2020/12,91491,28441
(주)제이웨이,058420,2020/12,4112,6598
(주)제이티,089790,2020/12,35859,22501
(주)제이티씨,950170,2021/02,114830,236211
(주)제일기획,030000,2020/12,786887,522377
(주)제일바이오,052670,2020/12,34229,4433
(주)제일테크노스,038010,2020/12,61081,79029
(주)제주반도체,080220,2020/12,96617,40718
(주)제주은행,006220,2020/12,,
(주)제주항공,089590,2020/12,287554,938335
(주)제테마,216080,2020/12,27235,25297
(주)젠큐릭스,229000,2020/12,9618,8657
(주)젬백스&카엘,082270,2020/12,66290,23588
(주)젬백스링크,064800,2020/12,58819,40533
(주)조비,001550,2020/12,37565,36652
(주)조이시티,067000,2020/12,69528,34117
(주)조흥,002600,2020/12,141502,115083
(주)종근당,185750,2020/12,594551,375238
(주)종근당바이오,063160,2020/12,87100,114536
(주)종근당홀딩스,001630,2020/12,30188,39255
(주)좋은사람들,033340,2020/12,76020,25039
(주)주연테크,044380,2020/12,41066,19728
(주)중앙디앤엠,051980,2020/12,43936,29127
(주)중앙백신연구소,072020,2020/12,42342,17429
(주)중앙에너비스,000440,2020/12,22516,9719
(주)지노믹트리,228760,2020/12,64883,7816
(주)지놈앤컴퍼니,314130,2020/12,104081,4422
(주)지누스,013890,2020/12,324963,189738
(주)지니뮤직,043610,2020/12,168379,88488
(주)지니틱스,303030,2020/12,30160,11459
(주)지란지교시큐리티,208350,2020/12,17256,19387
(주)지씨셀,144510,2020/12,18412,18852
(주)지아이텍,382480,2020/12,15042,13793
(주)지앤비에스엔지니어링,382800,2020/12,33211,25562
(주)지어소프트,051160,2020/12,35133,33668
(주)지에스,078930,2020/12,52359,775990
(주)지에스글로벌,001250,2020/12,420134,393128
(주)지에스리테일,007070,2020/12,848243,3291657
(주)지에스이,053050,2020/12,31414,93447
(주)지엔씨에너지,119850,2020/12,50191,30102
(주)지엔코,065060,2020/12,39166,80211
(주)지오엘리먼트,311320,2020/12,16215,3279
(주)지투알,035000,2020/12,31608,15093
(주)지티지웰니스,219750,2020/12,23782,40443
(주)진도,088790,2020/12,73521,30780
(주)진로발효,018120,2020/12,55955,11030
(주)진매트릭스,109820,2020/12,19062,4775
(주)진바이오텍,086060,2020/12,23565,5530
(주)진성티이씨,036890,2020/12,107253,52056
(주)진시스템,363250,2020/12,11410,6603
(주)진양홀딩스,100250,2020/12,48358,25922
(주)진에어,272450,2020/12,161290,458608
(주)차바이오텍,085660,2020/12,122000,157391
(주)차백신연구소,261780,2020/12,25037,24174
(주)창해에탄올,004650,2020/12,39032,46575
(주)천보,278280,2020/12,98255,6813
(주)천일고속,000650,2020/12,15502,29081
(주)청담글로벌,362320,2020/12,21058,19370
(주)체리부로,066360,2020/12,49700,138802
(주)초록뱀미디어,047820,2020/12,68118,151235
(주)초록뱀컴퍼니,052300,2020/12,32994,65011
(주)초록뱀헬스케어,118000,2020/12,21562,51925
(주)칩스앤미디어,094360,2020/12,24934,7152
(주)카나리아바이오,016790,2020/12,75671,39237
(주)카스,016920,2020/12,54142,88014
(주)카이노스메드,284620,2020/12,13017,18498
(주)카카오,035720,2020/12,1782402,2020061
(주)카카오게임즈,293490,2020/12,549527,120063
(주)카카오뱅크,323410,2020/12,,
(주)카카오페이,377300,2020/12,649196,571789
(주)카프로,006380,2020/12,134107,188330
(주)캐리소프트,317530,2020/12,5317,2664
(주)캐스텍코리아,071850,2020/12,93951,130311
(주)캠시스,050110,2020/12,121854,158879
(주)컴투스,078340,2020/12,701850,67599
(주)컴투스홀딩스,063080,2020/12,15981,117783
(주)케스피온,079190,2020/12,20305,19355
(주)케어랩스,263700,2020/12,53070,23665
(주)케어젠,214370,2020/12,139927,11001
(주)케이비지,318000,2020/12,20780,2905
(주)케이사인,192250,2020/12,47361,9967
(주)케이씨,029460,2020/12,241100,97966
(주)케이씨씨,002380,2020/12,2111476,3739029
(주)케이씨씨건설,021320,2020/12,604579,576990
(주)케이씨씨글라스,344820,2020/12,760972,397951
(주)케이씨아이,036670,2020/12,42420,9944
(주)케이씨에스,115500,2020/12,25160,10317
(주)케이씨텍,281820,2020/12,297679,59490
(주)케이씨티,089150,2020/12,4474,19419
(주)케이씨티시,009070,2020/12,75375,186689
(주)케이씨피드,025880,2020/12,50555,46074
(주)케이아이엔엑스,093320,2020/12,73348,27647
(주)케이에스에스해운,044450,2020/12,70175,799440
(주)케이에스피,073010,2020/12,22741,22876
(주)케이에이치바텍,060720,2020/12,90709,40225
(주)케이에이치필룩스,033180,2020/12,93535,93472
(주)케이엑스이노베이션,122450,2020/12,47393,113164
(주)케이엑스하이텍,052900,2020/12,30666,21736
(주)케이엔더블유,105330,2020/12,30230,11921
(주)케이엔엔,058400,2020/12,54301,13087
(주)케이엔제이,272110,2020/12,30248,51071
(주)케이엘넷,039420,2020/12,15024,6285
(주)케이엠,083550,2020/12,74106,48067
(주)케이엠더블유,032500,2020/12,208839,110090
(주)케이옥션,102370,2020/12,30550,49868
(주)케이이씨,092220,2020/12,192880,230583
(주)케이지모빌리언스,046440,2020/12,297225,147621
(주)케이지이니시스,035600,2020/12,217972,432077
(주)케이티,030200,2020/12,7155734,14824369
(주)케이티서브마린,060370,2020/12,69287,14032
(주)케이티스카이라이프,053210,2020/12,471781,159310
(주)케이티씨에스,058850,2020/12,178606,128003
(주)케이티아이에스,058860,2020/12,126275,126894
(주)케이티알파,036030,2020/12,128492,86729
(주)케이티앤지,033780,2020/12,4708231,1825601
(주)케이프,064820,2020/12,79104,61396
(주)케이피에스,256940,2020/12,48659,25739
(주)케이피에프,024880,2020/12,164168,169698
(주)케이피엠테크,042040,2020/12,52950,23581
(주)케이피티유,054410,2020/12,14885,30734
(주)케일럼,258610,2020/12,21628,66838
(주)켐온,217600,2020/12,44231,18003
(주)켐트로닉스,089010,2020/12,111400,163063
(주)켐트로스,220260,2020/12,23812,25428
(주)코난테크놀로지,402030,2020/12,11851,9780
(주)코다코,046070,2020/12,103324,252674
(주)코데즈컴바인,047770,2020/12,29134,6083
(주)코디,080530,2020/12,16996,30339
(주)코렌텍,104540,2020/12,63023,49244
(주)코리아나화장품,027050,2020/12,26894,33116
(주)코리아센터,290510,2020/12,38936,74629
(주)코리아써키트,007810,2020/12,213751,124943
(주)코리아에스이,101670,2020/12,19172,4897
(주)코맥스,036690,2020/12,76924,44957
(주)코메론,049430,2020/12,69987,7424
(주)코미코,183300,2020/12,56082,65795
(주)코미팜,041960,2020/12,55322,43099
(주)코세스,089890,2020/12,35153,43820
(주)코센,009730,2020/12,22973,32368
(주)코스나인,082660,2020/12,12125,50622
(주)코스메카코리아,241710,2020/12,75957,121145
(주)코스온,069110,2020/12,67106,92984
(주)코아스,071950,2020/12,28453,48545
(주)코아시아,045970,2020/12,61324,76721
(주)코아시아옵틱스,196450,2020/12,31235,19626
(주)코엔텍,029960,2020/12,99440,40047
(주)코오롱,002020,2020/12,24595,646405
(주)코원플레이,056000,2020/12,44052,24738
(주)코윈테크,282880,2020/12,86703,27214
(주)코이즈,121850,2020/12,16587,18455
(주)코콤,015710,2020/12,71821,28769
(주)코텍,052330,2020/12,220769,21495
(주)코퍼스코리아,322780,2020/12,20009,2503
(주)코프라,126600,2020/12,96322,15566
(주)콘텐트리중앙,036420,2020/12,82859,169235
(주)콤텍시스템,031820,2020/12,99842,60452
(주)쿠콘,294570,2020/12,69143,75072
(주)퀀타매트릭스,317690,2020/12,53192,4283
(주)큐라클,365270,2020/12,10735,5961
(주)큐로,015590,2020/12,118418,90342
(주)큐로컴,040350,2020/12,9873,27134
(주)큐로홀딩스,051780,2020/12,23746,10200
(주)큐리언트,115180,2020/12,57246,3734
(주)큐브엔터테인먼트,182360,2020/12,32922,19606
(주)큐에스아이,066310,2020/12,28767,19351
(주)크라운제과,264900,2020/12,98602,174367
(주)크라운해태홀딩스,005740,2020/12,1760,59483
